Odczuwalna,Ciśnienie,Wilgotność,Zwykla temperatura,Opis pogody,Miejsce,Prędkosc wiatru,Data pomiaru,0,Zwykła temperatura,Prędkość wiatru
28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:21:55.941528,,28.91,29.63
28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:22:06.131797,,28.91,29.63
28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:22:16.317411,,28.91,29.63
28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:22:26.513961,,28.91,29.63
28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:22:36.727471,,28.91,29.63
28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:22:46.918536,,28.91,29.63
28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:22:57.124374,,28.91,29.63
28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:23:07.338289,,28.91,29.63
28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:23:17.543094,,28.91,29.63
28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:23:27.752905,,28.91,29.63
28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:23:37.955872,,28.91,29.63
28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:23:48.173370,,28.91,29.63
28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:23:58.375761,,28.91,29.63
28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:24:08.586415,,28.91,29.63
28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:24:18.796223,,28.91,29.63
28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:24:28.968219,,28.91,29.63
28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:24:39.175793,,28.91,29.63
28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:24:49.373470,,28.91,29.63
28.12,1018.0,35.0,,clear sky,Lisbon,,2025-07-17 17:24:59.579538,,28.91,29.63
